"","ORF","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PF3D7_1127000","PF3D7_1127000","protein phosphatase, putative",2.54863535711883,7.58608206577322,4.71344986120169,4.21868406520619e-05,0.124704300967495,-2.50290801718199
"PF3D7_1217500","PF3D7_1217500","conserved Plasmodium protein, unknown function",0.622102310829123,6.77725262211604,4.06012334620501,0.000280851974331691,0.415099218062239,-3.0350767292411
"PF3D7_1366500","PF3D7_1366500","nucleoside diphosphate kinase (NDK)",-1.01613865673782,1.73763403614718,-3.21773639926257,0.00288024098812018,0.999031950256824,-4.12428463833474
"PF3D7_0400400","PF3D7_0400400","erythrocyte membrane protein 1, PfEMP1 (VAR)",1.6625023216018,6.57664463290156,3.13257968512741,0.00360489295331141,0.999031950256824,-3.62494150595551
"PF3D7_1229300","PF3D7_1229300","conserved Plasmodium protein, unknown function",1.76094796220702,4.85928847680316,3.08776091191041,0.00405285713555314,0.999031950256824,-3.89366334727706
"PF3D7_0600400","PF3D7_0600400","erythrocyte membrane protein 1, PfEMP1 (VAR)",2.57541463767218,3.13963264341111,3.04087366114566,0.00457774688916092,0.999031950256824,-4.09478808307981
"PF3D7_0906890","PF3D7_0906890","conserved Plasmodium protein, unknown function",1.29562700419746,3.50898152608464,2.91615873612403,0.00630440659257372,0.999031950256824,-4.105506374573
"PF3D7_1150400","PF3D7_1150400","erythrocyte membrane protein 1, PfEMP1 (VAR)",1.63320211909213,5.60776269117427,2.86994743154521,0.0070875619649901,0.999031950256824,-3.89197190269876
"PF3D7_0425400","PF3D7_0425400","Plasmodium exported protein (PHISTa), unknown function",1.70063103864652,3.80138310939459,2.82186411678471,0.00799875662082751,0.999031950256824,-4.11151210780381
"PF3D7_1100200","PF3D7_1100200","erythrocyte membrane protein 1, PfEMP1 (VAR)",1.91228114475744,5.6106288932424,2.81037321243412,0.00823219212196198,0.999031950256824,-3.92058833786362
"PF3D7_1358700","PF3D7_1358700","HVA22-like protein, putative",0.450618345394362,6.63575388494176,2.61842242796696,0.0132028268053806,0.999031950256824,-3.90845134237845
"PF3D7_0100300","PF3D7_0100300","erythrocyte membrane protein 1, PfEMP1 (VAR)",1.63400242307069,3.36906649605495,2.57820594597903,0.014546864793795,0.999031950256824,-4.22121555241566
"PF3D7_1431500","PF3D7_1431500","mitogen-activated protein kinase 1 (MAPK1)",-1.54128283946072,3.32993966886321,-2.56745358001889,0.0149269959929413,0.999031950256824,-4.22549356832007
"PF3D7_1235500","PF3D7_1235500","mRNA methyltransferase, putative",-0.395253674813595,5.54503318599187,-2.49355655739371,0.0177968596623446,0.999031950256824,-4.07777035563707
"PF3D7_0416900","PF3D7_0416900","conserved Plasmodium protein, unknown function",-0.55614926984098,6.03895618435428,-2.46334217499412,0.019109556329936,0.999031950256824,-4.05170717749846
"PF3D7_1300300","PF3D7_1300300","erythrocyte membrane protein 1, PfEMP1 (VAR)",1.53547973256277,5.72239015196137,2.45848757843619,0.0193285379238148,0.999031950256824,-4.07405736789363
"PF3D7_1135300","PF3D7_1135300","conserved Plasmodium membrane protein, unknown function",0.652316303478661,3.01315283149531,2.3942615732944,0.0224493150736627,0.999031950256824,-4.2937787201733
"PF3D7_0113200","PF3D7_0113200","Plasmodium exported protein, unknown function",-1.25186771051788,3.15274797754621,-2.39225286823178,0.022553924213318,0.999031950256824,-4.28595630056237
"PF3D7_0401800","PF3D7_0401800","Plasmodium exported protein (PHISTb), unknown function (PfD80)",-1.37051809143891,5.50391361146878,-2.32645536412947,0.026234873074809,0.999031950256824,-4.16344381798157
"PF3D7_1369700","PF3D7_1369700","U2 small nuclear ribonucleoprotein A', putative",0.499304393234537,5.85044856894097,2.30622950594301,0.0274708917272732,0.999031950256824,-4.13232018006788
"PF3D7_1200400","PF3D7_1200400","erythrocyte membrane protein 1, PfEMP1 (VAR)",0.94016690031102,5.86028916173406,2.30507899273287,0.027542754419574,0.999031950256824,-4.13173535188768
"PF3D7_1413700","PF3D7_1413700","conserved Plasmodium protein, unknown function",-1.05576936011065,4.0613284014647,-2.28407993559358,0.0288845012087853,0.999031950256824,-4.27306179313828
"PF3D7_0400100","PF3D7_0400100","erythrocyte membrane protein 1, PfEMP1 (VAR)",1.03598758467535,6.75231303017938,2.27701310105447,0.0293491000828004,0.999031950256824,-4.08405914557106
"PF3D7_1201100","PF3D7_1201100","RESA-like protein with PHIST and DnaJ domains",-1.42210431818494,3.88842099555509,-2.27495625180011,0.0294855817339056,0.999031950256824,-4.28533148926497
"PF3D7_0911900","PF3D7_0911900","falstatin (ICP)",0.432338478750284,10.0336086581084,2.26090955571417,0.0304329996965612,0.999031950256824,-4.0033369578347
"PF3D7_1219400","PF3D7_1219400","erythrocyte membrane protein 1 (PfEMP1), pseudogene (VAR)",1.15679386320386,3.78896530720174,2.2481087598605,0.0313200963478957,0.999031950256824,-4.29750978667712
"PF3D7_0906910","PF3D7_0906910","tubulin-specific chaperone, putative",0.894843775764752,4.75907159727976,2.23727234087284,0.032089113110538,0.999031950256824,-4.24190489991795
"PF3D7_0209700","PF3D7_0209700","RING zinc finger protein, putative",0.40488042409288,10.5827019483537,2.22414113537006,0.033043622554895,0.999031950256824,-4.03136324966251
"PF3D7_1129800","PF3D7_1129800","conserved Plasmodium protein, unknown function",1.39626811086089,2.11844405584582,2.21595190677009,0.0336516857896479,0.999031950256824,-4.3694569129625
"PF3D7_0524700","PF3D7_0524700","mitochondrial import receptor subunit TOM22, putative (TOM22)",-0.716255263966442,2.97644097777421,-2.20003305536026,0.0348623760956073,0.999031950256824,-4.34629968344424
"PF3D7_1116700","PF3D7_1116700","dipeptidyl aminopeptidase 1 (DPAP1)",0.442885737275581,11.269466751697,2.16792489622297,0.0374232197170266,0.999031950256824,-4.0753921638117
"PF3D7_1031700","PF3D7_1031700","protein phosphatase inhibitor 3 (I3)",-0.743430484776757,2.61331562546671,-2.14254548609993,0.0395644501194561,0.999031950256824,-4.37203681559911
"PF3D7_0804000","PF3D7_0804000","cactin homolog, putative",0.251701598119348,8.98122776666458,2.11853868751681,0.041689210403832,0.999031950256824,-4.09417134625366
"PF3D7_0702000","PF3D7_0702000","Plasmodium exported protein (hyp12), unknown function",-2.58165629137703,5.84695429240469,-2.08786139736031,0.0445509369220957,0.999031950256824,-4.25810228883139
"PF3D7_1244700","PF3D7_1244700","conserved Plasmodium protein, unknown function",-0.402021624981474,4.00069505986625,-2.05069629113446,0.0482488822347961,0.999031950256824,-4.34830389334475
"PF3D7_0916900","PF3D7_0916900","conserved Plasmodium protein, unknown function",0.379577357309441,4.6678486722606,2.03401209641399,0.0499948717872002,0.999031950256824,-4.32024371609666
"PF3D7_0307800","PF3D7_0307800","conserved Plasmodium protein, unknown function",-0.653090006171542,4.61656401785066,-2.03287430366675,0.050115933605063,0.999031950256824,-4.32552959292927
"PF3D7_0906800","PF3D7_0906800","probable protein, unknown function",0.631352851805882,2.78370223349558,2.03258582360631,0.0501466688475054,0.999031950256824,-4.39641998990487
"PF3D7_1463000","PF3D7_1463000","conserved Plasmodium protein, unknown function",0.5368072246995,4.30794498998988,2.02534339192821,0.0509237228553649,0.999031950256824,-4.34127711457736
"PF3D7_0831700","PF3D7_0831700","heat shock protein 70 (HSP70-x)",0.849819125509546,13.2717140971104,2.0221268421617,0.0512722000095569,0.999031950256824,-4.19160465603388
"PF3D7_1301200","PF3D7_1301200","glycophorin binding protein (GBPH2)",1.37550512405434,8.94924346043256,2.01448979648679,0.0521079594920232,0.999031950256824,-4.15705342723692
"PF3D7_1115600","PF3D7_1115600","peptidyl-prolyl cis-trans isomerase (CYP19B)",-0.9691834501061,6.40144416895513,-2.01200278055403,0.0523826853232495,0.999031950256824,-4.24212149564117
"PF3D7_0301700","PF3D7_0301700","Plasmodium exported protein, unknown function",-1.60294051318097,5.10940520911987,-2.00854306335404,0.0527669649090707,0.999031950256824,-4.31209244726509
"PF3D7_1478600","PF3D7_1478600","EMP1-trafficking protein (PTP3)",-2.13012736032825,5.29839069531507,-2.00635229975106,0.0530115702782834,0.999031950256824,-4.30591817160565
"PF3D7_0525000","PF3D7_0525000","zinc finger protein, putative",-1.51352976553063,2.54423867933087,-2.0060283878802,0.0530478199363756,0.999031950256824,-4.40598955836485
"PF3D7_0818800","PF3D7_0818800","U3 small nucleolar ribonucleoprotein protein IMP4, putative (IMP4)",0.348516394023614,6.57338278533842,2.00011551811873,0.053713356550664,0.999031950256824,-4.23409025434867
"PF3D7_0708300","PF3D7_0708300","EKC/KEOPS complex subunit BUD32 (BUD32)",0.369431066341565,5.22547078790327,1.99787120634711,0.0539678718597977,0.999031950256824,-4.30315295145432
"PF3D7_0219900","PF3D7_0219900","Plasmodium exported protein, unknown function",0.436503869263581,6.16726699190135,1.99635048441394,0.0541409262617937,0.999031950256824,-4.25496545214924
"PF3D7_1467900","PF3D7_1467900","rab GTPase activator, putative",-1.5236204059787,2.04163668005303,-1.99475819522172,0.0543226434680505,0.999031950256824,-4.41788366245699
