"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","genes.ORF","genes.GENENAME"
"PF3D7_1248300",45.8715466788636,-0.450985656237727,0.314256007667034,-1.43509000698425,0.151261450797009,0.240619910327938,"PF3D7_1248300","conserved Plasmodium membrane protein, unknown function"
"PF3D7_1231000",467.407546618432,-0.50048946142076,0.204422985434878,-2.44830325883387,0.0143530792642717,0.0345733061886003,"PF3D7_1231000","conserved Plasmodium protein, unknown function"
"PF3D7_0912800",2295.17208228253,0.491827815951698,0.110982382347996,4.43158459519748,9.35430996665905e-06,5.78286802968791e-05,"PF3D7_0912800","tRNA (adenine(58)-N(1))-methyltransferase non-catalytic subunit TRM6, putative (GCD10)"
"PF3D7_1212000",739.236050043446,-0.752281791870588,0.202948913611903,-3.70675446585129,0.000209932293266462,0.000902306825846361,"PF3D7_1212000","glutathione peroxidase-like thioredoxin peroxidase (TPx(Gl))"
"PF3D7_1246700",366.563035516316,-0.487033490154169,0.220081045358073,-2.21297335879954,0.0268994824259649,0.0581226991556428,"PF3D7_1246700","conserved Plasmodium protein, unknown function"
"PF3D7_1461300",3046.75215145984,-0.0258455376795278,0.26469110980762,-0.0976441471657757,0.922214867611283,0.961129244217534,"PF3D7_1461300","40S ribosomal protein S28e, putative"
"PF3D7_1205400",1017.79430641566,-0.206334000891277,0.133382439519674,-1.54693527599518,0.121878853690963,0.202425560731259,"PF3D7_1205400","conserved Plasmodium protein, unknown function"
"PF3D7_1250000",1716.2428931051,0.54219163616821,0.204716212106747,2.64850365580959,0.00808489747968487,0.0213147297191692,"PF3D7_1250000","rRNA-processing protein, putative"
"PF3D7_1327700",350.696201011316,-0.355078676009006,0.198793671048006,-1.78616690429375,0.0740722380060041,0.134871567050086,"PF3D7_1327700","regulator of nonsense transcripts 3B, putative (UPF3B)"
"PF3D7_1207900",234.216008486507,0.622487715919039,0.163759904434404,3.80122178300602,0.000143984349940455,0.000646864416355639,"PF3D7_1207900","conserved Plasmodium protein, unknown function"
"PF3D7_1352200",2863.40262063717,1.19630008823839,0.144540680605707,8.27656327080531,1.26781158324767e-16,4.19515602097722e-15,"PF3D7_1352200","U3 small nucleolar RNA-associated protein 15, putative (UTP15)"
