"ORF","GENENAME","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PF3D7_1115600","peptidyl-prolyl cis-trans isomerase (CYP19B)",-1.94635330313142,6.40144416895513,-4.61562004317431,6.5284631688802e-05,0.192981371272099,-3.42869181118522
"PF3D7_1401000","glycophorin binding protein (GBPH)",-2.90866547076748,2.80773966276333,-3.74717100658626,0.000739054054133501,0.999717560502427,-4.14719811544517
"PF3D7_0906910","tubulin-specific chaperone, putative",1.34936338177275,4.75907159727976,3.51297940772026,0.0013923883356306,0.999717560502427,-4.02255911062506
"PF3D7_0906890","conserved Plasmodium protein, unknown function",1.59579559921501,3.50898152608464,3.46438117418955,0.00158550215072852,0.999717560502427,-4.17463314385333
"PF3D7_1252300","conserved Plasmodium protein, unknown function",-1.95163679149521,7.68888778196727,-3.17769329818775,0.00336850531542397,0.999717560502427,-3.97682038524497
"PF3D7_0601900","conserved Plasmodium protein, unknown function",-2.09542411537829,6.98679310731687,-3.15932387331003,0.00353231814761386,0.999717560502427,-4.06413155729806
"PF3D7_1217500","conserved Plasmodium protein, unknown function",0.581699402191929,6.77725262211604,3.13602305237621,0.00375105953888769,0.999717560502427,-3.78453103353589
"PF3D7_1476800","lysophospholipase, putative",1.22651680672253,4.49958441851935,3.09023900373041,0.00421902266001669,0.999717560502427,-3.95198584509864
"PF3D7_1246500","conserved Plasmodium protein, unknown function",0.889420046932278,3.23204607490206,2.84991854995563,0.00773095616363255,0.999717560502427,-4.29778818664255
"PF3D7_0501000","Plasmodium exported protein, unknown function",-1.06653850449459,6.60009903746278,-2.71292843384998,0.0108166506986514,0.999717560502427,-4.16615507271572
"PF3D7_0935100","conserved protein, unknown function",0.774816717632552,3.18707826242867,2.66870006688644,0.0120365665934528,0.999717560502427,-4.28474709366173
"PF3D7_1248100","methyltransferase, putative",0.480151268732236,6.06217066688001,2.64525976871183,0.0127338325606072,0.999717560502427,-4.06247067017312
"PF3D7_0829000","conserved Plasmodium membrane protein, unknown function",-0.74899360227241,5.03425772160221,-2.52470026692563,0.0169497865016632,0.999717560502427,-4.27335472045009
"PF3D7_1307800","fork head domain protein, putative",1.26478363348232,4.43073539517285,2.52401186800635,0.0169771842765728,0.999717560502427,-4.28376556995211
"PF3D7_0218500","small nuclear ribonucleoprotein Sm D2, putative (SNRPD2)",-0.748639346137402,6.69343502872013,-2.50353222688532,0.0178111360423469,0.999717560502427,-4.11317307227149
